msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTP,192.168.1.156,192.168.1.157,GET / HTTP/1.1,3.390293
2,HTTP,192.168.1.157,192.168.1.156,HTTP/1.0 200 OK,3.393121
3,HTTP,192.168.1.156,192.168.1.157,GET /Favorites/ HTTP/1.1,5.384237
4,HTTP,192.168.1.157,192.168.1.156,HTTP/1.0 200 OK,5.385455
5,HTTP,192.168.1.156,192.168.1.157,GET /Favorites/Links/ HTTP/1.1,7.417459
6,HTTP,192.168.1.157,192.168.1.156,HTTP/1.0 200 OK,7.418334
7,HTTP,192.168.1.156,192.168.1.157,GET /SendTo/ HTTP/1.1,10.196854
8,HTTP,192.168.1.157,192.168.1.156,HTTP/1.0 404 No permission to list directory,10.198355
9,HTTP,192.168.1.156,192.168.1.157,GET /SendTo/ HTTP/1.1,11.407725
10,HTTP,192.168.1.157,192.168.1.156,HTTP/1.0 404 No permission to list directory,11.408771
11,HTTP,192.168.1.156,192.168.1.157,GET /Templates/ HTTP/1.1,13.330961
12,HTTP,192.168.1.157,192.168.1.156,HTTP/1.0 404 No permission to list directory,13.332039
13,HTTP,192.168.1.156,192.168.1.157,GET /Documents/ HTTP/1.1,15.434483
14,HTTP,192.168.1.157,192.168.1.156,HTTP/1.0 200 OK,15.435905
15,HTTP,192.168.1.156,192.168.1.157,GET /Documents/aa.pcapng HTTP/1.1,16.577075
16,HTTP,192.168.1.157,192.168.1.156,HTTP/1.0 200 OK,16.578339
